Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
TABLA 2. PRODUCCIÓN OBTENIDA DE LOS PRINCIPALES PRODUCTOS AGRÍCOLAS TOTAL NACIONAL 1987 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
Años,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
Cultivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transitorios,7812330,8155820,8855370,8753150,8349403.9,7653453.648999998,8063789.236,8250352.9805999985,8083909.753766666,7820898.760899998,8126563.8473000005,7329906.512500001,8240218.7650999995,8798191.1699,8718683.39526711,8305049.7304,8704760.336,9093357.898999998,8468913.720999999,8764013.77,8766221.3,9000500.9,9405469.425,8899319.5,8748600.45,9046548.840000002,9107485.0,9001167.710925762,9500444.734659372,10412198.960421348,11207369.188997913
Fique,23520,23900,23980,21607,35082,21674,23053.75,21353,29148.8,33416.399999999994,35624.1,23125.160000000003,21302.850000000002,19354.600000000002,18473.3,19608.4,20535.92,20407.6,19060.6,20064.6,21331.0,20860.1,21618.0,23959.0,22026.0,19747.0,18412.0,15806.0,19630.0,15047.0,17490.7
Ñame,139100,125300,111500,28322,51944,77477,77516,123952,132384,205606.97999999998,127512,164917.5,209440.1,254849.1,255565.19999999998,251781.6,288318,312307,284865,268787,269865.0,312777.0,380842.5,393972.5,391903.0,346595.0,365442.0,307444.0,260284.0,438123.0,364415
Plátano,2374260,2278490,2200200,2425043,2456092,2572892,2514783,2395614.9,2815728.0999999996,2657664.3200000003,2598688.4000000004,2425830.9,2294191.19,2682322.23,2928104.75,2725359.1833333336,2743442.0999999996,2882357.5,2866220.5000000005,2873120,2856088.27,2606870.0,2614962.4,2831907.85,2866397.0,3083935.0,3202054.1168799167,3360963.0,3423187.0,3790170.0,3990927
Yuca,1260390,1281600,1509400,1939019,1645213,1650961,1900190,1794610.9000000001,1801079,2019747.64,1676560.1400000001,1598165.80192,1761545.85,1792382.38,1980110.1500000001,1725551.75,1822735.8,1844199.6,1845884.15,1963607,2008519.5,1968670.0,1950833.0,1830289.5,1874466.25,1980881.5,2259830.0,1891773.0,1842987.0,2130161.0,2150446
Frutales,786150,952100,1003500,1172500,1498960,1886671.1,1671055.2,1850350.66,2025593.1500000001,2129894.9,2066652.9499999997,2086692.0800000005,2261477.05,2260534.25,2362493.6100000003,2577934.5300000003,2796944.3099999996,2875417.6100000003,2961853.27,3168723.16,3192439.04,3002312.0,3069840.2999999993,3166688.2999999993,3302658.3,3584784.5,3964270.0,4035884.51,4088999.3426545383,4215572.427162602,4716314.620697049
Flores,86525.4722381225,96687.65502766646,104443.80843350505,107191.37569166189,108170,124969,133041,138439,139135,141280,147728,147817,148547,170959,182146,189842,198111,192080,223180,224647,233908.67344000004,205750.20044999997,208124.03295999998,222157.0,208089.0,203372.0,213278.95604999995,223915.2956499999,223949.01264000003,236785.32722999985,248402.87712000002
Café Pergamino,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,828898.0,828586.0,708891.0,779235.0,640431.7714256396,626771.0,652052.0,728400.0,850500.0,853919.9999999997,851640
Café Verde,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,624989.092,624753.844,534503.814,587543.1900000001,482885.5556549323,472585.334,491647.208,549213.6,641277.0,643855.6799999997,642136.56
Total Cultivos,16591951.587853115,17171451.690173052,18244337.985902943,19078959.206749536,19148389.003109157,19376580.08368677,20065290.555524155,20486417.11966198,20789632.217398535,20734426.80635,20654413.257663995,19624145.759828106,21176181.27275903,22001677.693938673,22234860.069247767,21972128.28431833,22927411.96131148,23733870.268939905,23198598.114472114,23481658.171166077,24405915.66174001,24137732.78385,25027966.658059996,24406976.4169,24783476.239925638,25410768.223000005,26632995.92942992,25988278.808575757,26933475.38195391,28814150.00681395,30715488.67881497
"Producción en Términos: 1/ Azúcar. 2/ Aceite. 3/ Miel. 4/ panela. Los totales de permanentes no incluyen Caña de Azúcar y Panelera material verde M/V ni Café Verde, la producción de arroz riego y arroz secano mecanizado está en paddy verde y CAFÉ Pergamino y verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTE: Evaluaciones Agropecuarias Municipales. Ministerio de Agricultura y Desarrollo Rural - Secretarías de Agricultura Departamentales - UMATA. Años 2006 al 2012 Convenio MADR - CCI. Para el año 2013 Contrato MADR - UT -CRECE Federación Nacional de Cafeteros - 2015 Convenio Interadministrativo CCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND: No disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
