TABLA 106. PRECIOS MENSUALES DE LOS PRINCIPALES FERTILIZANTES COMERCIALIZADOS EN COLOMBIA  2006 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,($/Ton)
Producto,UREA,DAP,KCL,15-15-15,17-6-18-2,18-18-18,13-26-6,10-30-10,10-20-20
Mes,,,,,,,,,
,,,,,,,,,
Noviembre,1519872.5361444356,2575656.5765013057,2091403.8422568063,1803737.6304113201,1510446.3717449866,2016571.97757871,1906695.013888889,2056836.137710168,1837440.2487906015
Diciembre,1247936.193322118,2270944.4096250697,1951728.6563208927,1630844.4301221166,1498617.0921707987,1878185.9210129636,1720046.1578004516,1932797.5099866847,1817779.1792395897
2009,,,,,,,,,
Enero,889416.970738441,2222714.9955899315,1802406.727678015,1560440.940679494,1460766.31731308,1723194.9947624037,1638509.31940577,1857931.9759692107,1662771.3442063746
Febrero,1030734.3987452352,2144740.8016198534,1718033.3423632316,1616819.1767929567,1452739.2661138729,1686511.9816707275,1701115.6532919426,1832901.308643959,1644350.072969459
Marzo,1095013.774592379,2017919.1549958808,1814036.0468523165,1634514.5168695985,1465362.5672629038,1706725.2621170718,1721638.423222061,1863308.7296726506,1498226.2881348825
Abril,1097416.5872035201,1738554.0409057706,1935077.0238670404,1609534.8887287918,1461629.835532995,1730913.6303057573,1652706.3073189424,1911552.1058262817,1762204.5121547878
Mayo,963254.2587200121,1620632.2222467011,1861168.1845417465,1528595.4758374009,1387167.631733243,1641206.2853241048,1594709.9638314785,1732374.1442970454,1673630.654341504
Junio,871824.9540726091,1230496.723464576,1806911.7577556954,1434975.2217557947,1341684.8899324203,1369451.1259374367,1576972.5423546494,1621998.0639678615,1547585.6968842158
Julio,804580.3722690162,1078846.8115837574,1703069.9582530507,1259767.6376288391,1301181.5657538918,1354673.143855192,1503815.4985278165,1308344.597387405,1466836.5951073389
Agosto,772272.9266092101,819538.8812750337,1511171.8533567884,1095877.7704631395,1174054.529550534,1218614.9302102898,1001490.9312784054,1069942.6587783566,1224357.952156885
Septiembre,747345.3428136308,870306.0731902481,1336461.9384542468,1112737.8668907012,1157852.3250403572,1194776.8786658186,1145143.3249192706,1098885.7586811143,1217332.458749236
Octubre,711476.8228332165,947821.8608250301,1309860.3742699146,1116037.8152926778,1161820.8880286403,1057669.7700371996,1170243.6186624295,1100790.1758504917,1234850.869347572
Noviembre,703380.9169864133,904738.196665234,1238933.8906400828,1062308.526126156,1087476.038347791,975641.9255167159,1103023.3880774777,1034901.7331782242,1040109.4422613765
Diciembre,710756.9972480682,902576.3298654951,1210070.936981102,1102311.16417217,1123806.6638495403,1029985.1765381881,1151862.4299383082,1027220.346763055,1092761.080062386
2010,,,,,,,,,
Enero,720984.0918090122,990086.1951435241,1172377.8445100382,1106608.1754524077,1078719.5446560904,985247.7856267677,1149317.1761204482,1081563.469061258,1110382.0938722296
Febrero,791438.4036375693,1026831.7180088472,1159906.0335300427,1060264.945794125,1053746.071484869,1000150.5973093375,1097903.9248444466,1060599.288826913,1103725.8403686003
Marzo,787178.2905156596,1143691.7345917823,1066417.0919129492,1072859.819822555,1035401.2142651868,986666.2250368701,1077260.674340264,1067940.1662318301,1092601.0554078752
Abril,809006.9552061035,1127423.6361977027,1014026.0209609879,1024072.6107688645,983083.2924854703,986694.3047335256,1085491.3262458472,1078237.9775518847,1131456.5134865134
Mayo,765877.5588568855,1171029.6658826976,996266.1913732031,1002780.6803765139,974402.4248247306,985250.7823150653,1079475.2358053506,1050068.1430153782,1076510.479366242
Junio,757778.1742832046,1178956.0993548045,994684.2273931425,1031622.0226803666,1006083.7596150548,1012457.3680435094,1117624.863761482,1114470.7721251077,1077783.2116991642
Julio,763271.5181977617,1203143.7383198792,1001293.3084855957,1059339.112584339,1038716.9628288978,1021942.8469496967,1130376.0351765489,1143266.2650602409,1139925.0219245795
Agosto,753613.69438337,1179018.885495588,1006628.323864124,1056724.2129009368,1011079.4964814516,1035140.9632085161,1145975.0677906487,1145807.173008829,1156881.4550100819
Septiembre,762499.8123181284,1282688.1305784832,968448.8385981676,1060087.978868877,1013973.0983230282,1031258.972303096,1149989.942494149,1144934.182694117,1146098.034835709
Octubre,769194.6986273474,1308200.9985448911,967936.3455764407,1065621.401121487,1014403.9017295437,1042522.7337571455,1152075.521249752,1153640.5650715968,1147759.4618255282
Noviembre,770793.7493213586,1345243.5633742686,973485.3588790393,1069864.6384946445,1018668.2114120139,1041697.0301175712,1144374.46811277,1179975.7671957673,1142667.3520969388
