TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
1995,55.310681110554405,60.86922257113757,65.65553894114647,66.56538615309347,65.18862759046726,61.287883486889086,59.86828218016297,59.43367028656148,60.15294484943519,62.59322860887189,61.83108774063113,63.03334091828793
1996,65.71166795978755,70.35240990074543,71.47980513251196,72.26235005809106,70.6250479633295,70.49830810720934,72.39056363346845,74.51419308310969,75.97317514774872,76.43002811748417,74.63945921997265,73.27037403002349
1997,27.229854482861995,28.907814889830625,30.33378946268287,30.16986604638401,29.46165322839377,29.321071657781484,28.955029077696636,30.44572422267983,31.160833495077462,31.573029270042564,32.10723923836928,31.98045057657178
1998,33.87554875200919,35.93061282349303,38.408105862475786,39.54529007325331,37.31450334759114,37.43266891064574,37.544340747935294,38.09505684514894,37.85421198456862,37.26871457835735,36.056646642678956,35.99712023038157
1999,36.61283,38.456696,39.085021,39.109006,37.875276,37.560892,38.469883,40.426719,40.569378,39.871816,38.544163,38.321763
2000,39.905781,42.430513,43.305103,42.603417,41.55431,40.000935,39.627482,40.669574,42.68985,42.955614,42.560099,41.278486
2001,42.627347,44.788804,46.783567,46.957856,46.380474,44.084628,44.073392,44.954104,46.87475,48.048634,48.182437,46.721833
2002,47.471473,50.382509,53.510136,54.891264,53.529229,52.162691,50.67375,52.55513,54.151779,54.890112,54.151833,52.573905
2003,54.057656,57.029876,59.173873,59.908841,57.718515,54.532419,52.767676,53.253701,54.165519,54.922696,54.416768,54.457943
2004,56.086139,60.045865,63.265287,64.544672,61.697088,58.645465,57.778261,59.883023,64.157612,63.646689,61.26018,58.75859
2005,59.783355,62.897405,65.878814,65.636858,61.990508,59.926743,59.718101,62.378522,66.433512,66.999405,65.32004,64.446625
2006,64.606024,68.108311,72.527217,71.534525,69.608077,69.215773,71.401805,74.013756,77.14159,78.349026,76.563983,74.254151
2007,76.640089,81.705119,89.44176,87.935837,84.428188,80.600585,78.588023,79.06818,80.376703,83.35036,81.710066,80.205763
2008,82.218627,87.65292,90.957268,93.527029,89.164775,88.694775,91.277051,96.597356,98.959632,100.843133,100.765004,100
2009,101.931319,105.30466,109.867171,110.184898,104.495708,101.686267,100.628463,100.483091,99.068738,97.889537,90.523623,87.058754
2010,88.530625,95.580621,102.123619,107.548376,102.543163,97.387854,94.611892,93.080848,92.637354,93.041457,94.07873,97.809492
2011,102.777252,113.486812,119.892755,120.649566,118.387917,119.867645,125.480816,123.27031,121.619965,118.427325,112.998777,109.213106
2012,110.498818,117.031431,123.781098,122.032804,113.233424,110.376922,113.068805,111.6524,111.332392,113.011926,107.833965,106.212659
2013,107.96,111.62,116.76,122.36,114.74,111.59,117.64,120.4,127.49,122.52,118.29,114.84
2014,122.12,129.43,136.09,140.05,138.19,130.82,134.3,137.83,139.2,143.26,137.11,129.95
2015,131.72,133.14,144.02,145.77,140.61,135.68,136.29,142.06,155.69,166.22,161.27,162.15
2016,172.08,177.02,192.93,197.44,181.81,177.2,184.84,180.72,180.88,176.64,170.57,159.42
2017,163.66,171.84,184.82,187.44,181.37,170.96,175.79,185.65,193.37,194.14,186.21,173.91
CARNES Y DERIVADOS DE LA CARNE,,,,,,,,,,,,
