Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
TABLA 98.  SEMILLA CERTIFICADA VENDIDA POR LOS PRODUCTORES Y DENSIDADES DE SIEMBRA A NIVEL SEMESTRAL. 2002 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de Kilogramos),
Producto,Densidad de,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,Siembra (kg/ha),A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ica Cajica,,,,,,,,,,2.04,6.204,6.106,1.36,2.373,2.017,4.6123,1.305,,,,,,,,,,,,,,,,
Ica Calamari,,,,,,,,,,,,2.061,,,,,,,,,,,,,,,,,,4.675,,,
Ica Cerinza,,,,,,,,,,,3.561,1.228,0.366,1.763,0.418,,,0.25,0.15,0.05,,,,,,,,,,,,,
Ica Citará,,1,,3.9,12.7,12.18,0.205,10.63,14.32,4.42,9.05,1.023,6.07,0.44,,0.596,0.588,0.056,,2.852,1.324,0.58,1.16,0.44,0.97,0.51,1.56,0.615,0.68,0.49,,,
Ica Guitara,,,,,,,,,,0.01,0.051,,0.035,,,,,,,,,,,,,,,,,,,,
 ,0,1,0,13.9,8.1,24.34,10.012,17.611,5.6,10.38,11.476,2.4,18.1,10.168,3.84,5.712,7.902,0.812,0.762,5.545,2.64,2.35,2.96,,,,,,,,,,
Ica Quimbaya,,1,,13.9,8.1,24.34,10.012,17.611,5.6,10.38,11.476,2.4,18.1,10.168,3.84,5.712,7.902,0.812,0.762,5.545,2.64,2.35,2.96,2.46,3.74,2.38,1.62,4.675,6.06,,,,
MAÍZ (VAR.),20,56,62,320.3,148.9,433.974,333.98,355.65999999999997,116.35199999999998,423.627,433.08700000000005,500.061,272.133,69.191,64.64999999999999,120.69600000000003,174.015,152.706,109.341,126.193,84.749,487.64799999999997,257.264,0,29.966,461.976,60.9263,0,504.568,336.098,263.013,277.49100000000004,110.913
Ica V-109,,31,32,104,40.4,264.912,146.522,203.95,49.407,139.581,143.357,289.321,107.171,20.439,16.103,32.365,63.92,67.7,40.63,53.261,39.767,312.573,156.673,,15.223,304.043,32.175,,313.457,242.522,160.963,166.955,73.688
Ica V-156,,12,16,76.3,52.4,93.62,48.274,47.926,22.787,82.771,76.632,103.708,54.207,12.281,11.54,10.05,18.055,16.7,16.3,15.738,5.1,112.479,23.478,,1.425,66.377,7.072,,49.597,5.614,20.935,36.127,7.347
Ica V-304,,,,,,,,,,0.105,5.982,0.082,,0.321,0.188,0.111,,,,,,,,,,,,,,,,,
Ica V-305,,13,14,140,56.1,75.442,139.184,97.153,42.76,194.668,203.005,105.873,108.485,33.615,31.534,75.18,91.386,68.086,51.611,57.194,39.882,62.596,77.113,,13.318,91.556,18.537,,141.514,87.962,81.115,74.409,29.878
Ica V-354,,,,,,,,6.631,,3.45,3.97,1.05,2.27,2.535,4.285,2.965,0.654,0.22,0.8,,,,,,,,,,,,,,
Ica V-402,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,
Ica V-508,,,,,,,,,1.398,3.052,0.141,0.027,,,1,,,,,,,,,,,,3.1423,,,,,,
MAÍZ (HIBRIDO),20,933,82,1070.1000000000001,850.3,2355.498,316.442,776.425,321.81,998.0530000000001,722.2510000000001,1416.7879999999998,803.7529999999999,403.78999999999996,452.30400000000003,621.2900000000001,821.9759999999999,853.313,338.034,462.85300000000007,619.0642,413.112,383.537,783.4859999999998,870.7010000000001,52.26099999999999,464.91700000000003,10196.324999999999,4118.115,2033.739,1350.2760000000003,1539.934,506.0404
3041 **,,103,,110.6,224.9,131.2,102.62,96.345,69.7,69.7,71.629,,,38.134,24.876,,34.16,14.892,,,,,,,,,,22.925,,,,13.294,13.11
C 606,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C DK 343 **,,,,,,224,10.23,,,,0.069,22.051,0.069,,,,,,,,,,,,,,,,,,,,
Cargill C4004 **,,,,,,315.2,79.804,,,,47.049,80.011,36.047,,,,,,,,,,,,,,,,,,,,
Cerato,,,,,,,,,,,,,,,,,,,,,,2.196,4.878,0.18,,,,470.48,2.29,,,,
Ceres 106B,,4,7,3.6,8.4,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceres 123 A,,7,2,1.1,4.8,2.365,2.632,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpoica altillanura H 111,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corpoica H 108,,,2,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAS 2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,
DAS 2384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,3.34,,
DAS 3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.44,,
DK 003 **,,,,,,,,,,,,43.372,14.341,,,24.426,2,2.1,,,,,,,,,,,,,,,
DK 003 RR**,,,,,,,,,,,,,,,,,,1.26,3.2,0.92,11,,,,,,,,,,,,
DK 003 RRYG**,,,,,,,,,,,,,,,,,,1.6,8.84,13.14,20.025,,,,,,,,,,,,
DK 1040 **,,,,,,,,,,,47.077,95.03,54.591,,,65.849,48.92,36.16,13.6,0.4,,,,,,,,,,,,,
DK 1040 RRYG**,,,,,,,,,,,,,,,,,,14.06,15.94,11.56,2.55,,,,,,,,,,,,
DK 1048 B2RF**,,,,,,,,,,,,,,,,,,,,,,,,,,,6.985,,,,,,
DK 1393 **,,,,,,,,,,,,21.223,9.856,,,,,,,,,,,,,,,,,,,,
DK 1596 **,,,,,,,,,,,,,,,,,,1.46,3.84,1.8,59.425,0.12,,,6.26,,9.511,32.096,,6.78,7.82,,
DK 1596 RR2 **,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.278,,5.236,0.4,3.4,
DK 1596 VTPRO **,,,,,,,,,,,,,,,,,,,,,,,,80,81.44,,41,8.091,38.596,,,,
DK 1596 VTPRR2 **,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.508,35.508,,
DK 234  **,,,,,,,,,,,0.05,179.078,38.301,,,248.17,8.3,62.4,10.8,79.44,,,,,,,,,,,,,
DK 234 RR **,,,,,,,,,,,,,,,,,,21.94,,,,8.44,,13.24,,,,4.688,9.571,15.348,15.348,5,
DK 234 VTP/RR2 **,,,,,,,,,,,,,,,,,,,,,,108.72,10.62,190.72,109,,,37.214,221.51,124.953,176.991,,
DK 234 YGRR **,,,,,,,,,,,,,,,,,,96.74,40.94,115.54,47.575,,,,,,,,,,,150.02,
DK 363 **,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK 369 RR,,,,,,,,,,,,54.464,10.951,,,,,,,,,,,,,,,,,2.831,,,
DK 370RR **,,,,,,,,,,,,,,,,,,,,,,,,,52,,14.908,24.222,9.695,22.274,22.52,,
DK 370VT2PRO **,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.18,,
DK 370VTPRR2 **,,,,,,,,,,,,,,,,,,,,,,,,,,,91.996,112.088,,169.149,389.408,154.8,
DK 399 RR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.949,2.831,3.78,18,
DK 399VTPRR2 **,,,,,,,,,,,9.638,,,,,,,,,,,,,,,,,8.009,54.174,143.459,143.459,22.26,
DK 4004 **,,,,,,,,,,,,,,,,72.634,23.74,,,,,,,,,,,,,,,,
DK 4004 RR**,,,,,,,,,,,,,,,,,,3.8,8.44,21.18,,,,,,,,,,,,,
DK 4004 YGRR**,,,,,,,,,,,,,,,,,,19.64,20.82,12.7,,,,,,,,,,,,,
DK 7088,,,,,,,,,,,,,,,,6.118,24.7,30.04,39.52,38.86,61.925,0.02,,,10,,,18.08,,,16.38,35.755,
DK 7088 RR2 **,,,,,,,,,,,,,,,,,,,,,69.475,10.6,,8.4,21.08,,27.413,14.336,15.75,20.085,27.5,12.2,
DK 7088VTP/ RR2 **,,,,,,,,,,,,,,,,,,,,,,28.12,205.36,163.54,256.86,,228.87,88.989,232.837,352.41,371.585,70.86,
